PBDB_entry (5148 unique),alphabet_filtered (3580 unique),word_striped (3133 unique),spelling (2364 unique)
cephalexiin,cephalexiin,cephalexiin,cephalexin
cephalexin,cephalexin,cephalexin,cephalexin
cephalexine,cephalexine,cephalexine,cephalexin
cephalosporin,cephalosporin,cephalosporin,cephalosporin
cerefolin,cerefolin,cerefolin,cerefolin
cerefolin nac,cerefolin nac,cerefolin nac,cerefolin nac
cerezyme,cerezyme,cerezyme,cerezyme
certolizumab,certolizumab,certolizumab,certolizumab pegol
certolizumab pegol,certolizumab pegol,certolizumab pegol,certolizumab pegol
cetirizibe,cetirizibe,cetirizibe,cetirizine
cetirizin,cetirizin,cetirizin,cetirizine
cetirizine,cetirizine,cetirizine,cetirizine
cetirizine (ZYRTEC,cetirizine zyrtec,cetirizine zyrtec,cetirizine zyrtec
cetirizine HCL,cetirizine hcl,cetirizine,cetirizine
cetirizine hcl,cetirizine hcl,cetirizine,cetirizine
cetrizine,cetrizine,cetrizine,cetirizine
cetrorelix,cetrorelix,cetrorelix,cetrorelix
cetrorelix acetate,cetrorelix acetate,cetrorelix acetate,cetrorelix acetate
cheratussin,cheratussin,cheratussin,cheratussin
cheratussin AC,cheratussin ac,cheratussin,cheratussin
chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine
chlorophyll,chlorophyll,chlorophyll,chlorophyll
chlorphen-phenyleph-methscop,chlorphen phenyleph methscop,chlorphen phenyleph methscop,chlorphenesin phenylephrine methscop
chlorpheniramine,chlorpheniramine,chlorpheniramine,chlorpheniramine
chlorzoxazone,chlorzoxazone,chlorzoxazone,chlorzoxazone
chlrohexidine,chlrohexidine,chlrohexidine,chlorhexidine
cholecalciferol,cholecalciferol,cholecalciferol,cholecalciferol
cholecalciferol (vitamin D),cholecalciferol vitamin d,cholecalciferol vitamin d,cholecalciferol vitamin d
cholecalciferol,cholecalciferol,cholecalciferol,cholecalciferol
vitamin D3,vitamin d,vitamin d,vitamin d
cholestasis,cholestasis,cholestasis,cholestasis
cholestyramine,cholestyramine,cholestyramine,cholestyramine resin
choline bitartrate,choline bitartrate,choline bitartrate,choline bitartrate
choline fenofibrate,choline fenofibrate,choline fenofibrate,choline fenofibrate
choriogonadotropin alfa,choriogonadotropin alfa,choriogonadotropin alfa,chorionic gonadotropin
chorionic gonadotropin,chorionic gonadotropin,chorionic gonadotropin,chorionic gonadotropin
ciclesonide,ciclesonide,ciclesonide,ciclesonide
ciclesonide inhaler,ciclesonide inhaler,ciclesonide,ciclesonide
ciclesonide nasal,ciclesonide nasal,ciclesonide,ciclesonide
ciclesonide nasal inhaler,ciclesonide nasal inhaler,ciclesonide,ciclesonide
ciclobenzapril,ciclobenzapril,ciclobenzapril,cyclobenzaprine
ciloxan,ciloxan,ciloxan,ciloxan
cimetidine,cimetidine,cimetidine,cimetidine
cipro,cipro,cipro,cipro
ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin
ciprofloxacin HCl,ciprofloxacin hcl,ciprofloxacin,ciprofloxacin
ciprofloxacin ear drops,ciprofloxacin ear drops,ciprofloxacin ear,ciprofloxacin
ciprofloxacin hcl,ciprofloxacin hcl,ciprofloxacin,ciprofloxacin
ciprofloxacin-dexamethasone ear drops,ciprofloxacin dexamethasone ear drops,ciprofloxacin dexamethasone ear,ciprofloxacin  dexamethasone
ciprofloxacin/dexamethasone OTIC SUSP,ciprofloxacindexamethasone otic susp,ciprofloxacindexamethasone otic susp,ciprofloxacin  dexamethasone
ciprofloxacine,ciprofloxacine,ciprofloxacine,ciprofloxacin
ciprofloxan,ciprofloxan,ciprofloxan,ciprofloxacin
cisplatin,cisplatin,cisplatin,cisplatin
citalopram,citalopram,citalopram,citalopram
citalopram hydrobromide,citalopram hydrobromide,citalopram hydrobromide,citalopram hydrobromide
citalpram,citalpram,citalpram,citalopram
citranatal,citranatal,citranatal,citranatal
citranatal assure,citranatal assure,citranatal assure,citranatal assure
citrazine,citrazine,citrazine,citrazine
clararin,clararin,clararin,clararin
claratin,claratin,claratin,claratin
clariitin,clariitin,clariitin,clariitin
clarithromycin,clarithromycin,clarithromycin,clarithromycin
claritin,claritin,claritin,claritin
clartin,clartin,clartin,clartin
clatritin,clatritin,clatritin,clatritin
clemastine,clemastine,clemastine,clemastine
cleocin,cleocin,cleocin,cleocin
cleocint,cleocint,cleocint,cleocint
clindamcyin,clindamcyin,clindamcyin,clindamycin
clindamicin,clindamicin,clindamicin,clindamycin
clindamycin,clindamycin,clindamycin,clindamycin
clindamycin 2%,clindamycin ,clindamycin,clindamycin
clindamycin HCL,clindamycin hcl,clindamycin,clindamycin
clindamycin HCl,clindamycin hcl,clindamycin,clindamycin
clindamycin TOP GEL 1%,clindamycin top gel ,clindamycin,clindamycin
clindamycin cream,clindamycin cream,clindamycin,clindamycin
clindamycin gel,clindamycin gel,clindamycin,clindamycin
clindamycin hcl,clindamycin hcl,clindamycin,clindamycin
clindamycin phos-benzoyl perox,clindamycin phos benzoyl perox,clindamycin phos benzoyl perox,clindamycin phos benzoyl perox
clindamycin phosphate,clindamycin phosphate,clindamycin phosphate,clindamycin phosphate
clindamycin phosphate 1%,clindamycin phosphate ,clindamycin phosphate,clindamycin phosphate
clindamycin phosphate 1% topical,clindamycin phosphate  topical,clindamycin phosphate,clindamycin phosphate
clindamycin phosphate 2%,clindamycin phosphate ,clindamycin phosphate,clindamycin phosphate
clindamycin phosphate topical,clindamycin phosphate topical,clindamycin phosphate,clindamycin phosphate
clindamycin topical,clindamycin topical,clindamycin,clindamycin
clindamycin topical gel,clindamycin topical gel,clindamycin,clindamycin
clindamycin topical lotion,clindamycin topical lotion,clindamycin,clindamycin
clindamycin vag,clindamycin vag,clindamycin,clindamycin
clindamycin vag cream 2%,clindamycin vag cream ,clindamycin,clindamycin
clindamycin-Benzoyl,clindamycin benzoyl,clindamycin benzoyl,clindamycin benzoyl
clindamycin-benzoyl peroxide,clindamycin benzoyl peroxide,clindamycin benzoyl peroxide,clindamycin benzoyl peroxide
clindamycin/ benzoyl peroxide,clindamycin benzoyl peroxide,clindamycin benzoyl peroxide,clindamycin benzoyl peroxide
clindesse,clindesse,clindesse,clindesse
clindyamycin,clindyamycin,clindyamycin,clindamycin
cloNazePAm,clonazepam,clonazepam,clonazepam
clobetasol,clobetasol,clobetasol,clobetasol
clobetasol propionate,clobetasol propionate,clobetasol propionate,clobetasol propionate
